epoch,acc,loss,val_acc,val_loss
0,0.5404686331748962,1.9704207181930542,0.7127494215965271,1.0932360887527466
1,0.8095203042030334,0.7108282446861267,0.8570953607559204,0.5444199442863464
2,0.8895335793495178,0.4120989739894867,0.8992239236831665,0.40034183859825134
3,0.9171779155731201,0.31056249141693115,0.8750554323196411,0.46400707960128784
4,0.935804545879364,0.2328421026468277,0.9337028861045837,0.24756614863872528
5,0.9488875865936279,0.1878465712070465,0.9403547644615173,0.23322810232639313
6,0.9549116492271423,0.157586932182312,0.9395787119865417,0.23184441030025482
7,0.9596791863441467,0.14469978213310242,0.9324833750724792,0.2642501890659332
8,0.9680685997009277,0.10916201770305634,0.9385809302330017,0.2416725903749466
9,0.9723926186561584,0.09787247329950333,0.9261640906333923,0.27831020951271057
10,0.9709513187408447,0.09904391318559647,0.9437915682792664,0.2380530834197998
11,0.9726883172988892,0.09544537216424942,0.9391352534294128,0.2687295079231262
12,0.9698055982589722,0.1051255539059639,0.9523281455039978,0.20221923291683197
13,0.9761992692947388,0.08013264089822769,0.9475609660148621,0.2348601371049881
14,0.9801906943321228,0.06834869831800461,0.9385809302330017,0.2691550552845001
15,0.9685490131378174,0.11313752830028534,0.9483370184898376,0.21230879426002502
16,0.9675142168998718,0.11735634505748749,0.9374722838401794,0.262961208820343
17,0.9713208675384521,0.09652961790561676,0.9494456648826599,0.21660928428173065
18,0.9802646040916443,0.06528440862894058,0.9495565295219421,0.22094836831092834
19,0.9839973449707031,0.05586390197277069,0.9582039713859558,0.1746079921722412
20,0.9837386608123779,0.054846107959747314,0.9539911150932312,0.2003898322582245
21,0.9795254468917847,0.07020080834627151,0.9634146094322205,0.18471889197826385
22,0.976310133934021,0.08370663225650787,0.9314855933189392,0.31577131152153015
23,0.9809668064117432,0.06752502918243408,0.960753858089447,0.17064563930034637
24,0.9827777147293091,0.05758623778820038,0.9386917948722839,0.29772457480430603
25,0.9792667627334595,0.07296641170978546,0.9570953249931335,0.19743873178958893
26,0.984699547290802,0.053995050489902496,0.9557649493217468,0.2120232880115509
27,0.9800059199333191,0.07225998491048813,0.9596452116966248,0.19830498099327087
28,0.9815950989723206,0.06380244344472885,0.9657427668571472,0.17212940752506256
29,0.9856973886489868,0.05132550373673439,0.9671840071678162,0.17148220539093018
30,0.9871387481689453,0.04426126554608345,0.9592017531394958,0.20964138209819794
31,0.9820016026496887,0.060613952577114105,0.9614190459251404,0.1992083042860031
32,0.9806711673736572,0.06881009042263031,0.9593126177787781,0.2050432562828064
33,0.9866952300071716,0.0476355142891407,0.9665188193321228,0.18796321749687195
34,0.9824081659317017,0.06103239208459854,0.964634120464325,0.18467821180820465
35,0.9840712547302246,0.05779457837343216,0.9624168276786804,0.18599006533622742
36,0.9880257248878479,0.04206587001681328,0.964634120464325,0.1859654039144516
